Date,Symbol,Order,Shares
2008-02-07,ML4T-399,BUY,100
2008-02-26,ML4T-399,BUY,100
2008-03-18,ML4T-399,BUY,100
2008-04-11,ML4T-399,BUY,100
2008-05-02,ML4T-399,BUY,100
2008-05-23,ML4T-399,BUY,100
2008-06-16,ML4T-399,BUY,100
2008-07-07,ML4T-399,BUY,100
2008-07-28,ML4T-399,BUY,100
2008-08-19,ML4T-399,BUY,100
2008-09-10,ML4T-399,BUY,100
2008-10-02,ML4T-399,BUY,100
2008-10-23,ML4T-399,BUY,100
2008-11-13,ML4T-399,BUY,100
2008-12-05,ML4T-399,BUY,100
2008-12-26,ML4T-399,BUY,100
2009-01-20,ML4T-399,BUY,100
2009-02-11,ML4T-399,BUY,100
2009-03-05,ML4T-399,BUY,100
2009-03-27,ML4T-399,BUY,100
2009-04-20,ML4T-399,BUY,100
2009-05-11,ML4T-399,BUY,100
2009-06-02,ML4T-399,BUY,100
2009-06-22,ML4T-399,BUY,100
2009-07-14,ML4T-399,BUY,100
2009-08-05,ML4T-399,BUY,100
2009-08-26,ML4T-399,BUY,100
2009-09-18,ML4T-399,BUY,100
2009-10-09,ML4T-399,BUY,100
2009-10-30,ML4T-399,BUY,100
2009-11-20,ML4T-399,BUY,100
2009-12-11,ML4T-399,BUY,100
2009-12-08,ML4T-399,SELL,100
2009-11-16,ML4T-399,SELL,100
2009-10-26,ML4T-399,SELL,100
2009-10-05,ML4T-399,SELL,100
2009-09-14,ML4T-399,SELL,100
2009-08-21,ML4T-399,SELL,100
2009-07-30,ML4T-399,SELL,100
2009-07-09,ML4T-399,SELL,100
2009-06-17,ML4T-399,SELL,100
2009-05-27,ML4T-399,SELL,100
2009-05-05,ML4T-399,SELL,100
2009-04-14,ML4T-399,SELL,100
2009-03-23,ML4T-399,SELL,100
2009-02-27,ML4T-399,SELL,100
2009-02-05,ML4T-399,SELL,100
2009-01-14,ML4T-399,SELL,100
2008-12-22,ML4T-399,SELL,100
2008-12-01,ML4T-399,SELL,100
2008-11-07,ML4T-399,SELL,100
2008-10-17,ML4T-399,SELL,100
2008-09-26,ML4T-399,SELL,100
2008-09-04,ML4T-399,SELL,100
2008-08-13,ML4T-399,SELL,100
2008-07-23,ML4T-399,SELL,100
2008-07-01,ML4T-399,SELL,100
2008-06-10,ML4T-399,SELL,100
2008-05-19,ML4T-399,SELL,100
2008-04-28,ML4T-399,SELL,100
2008-04-07,ML4T-399,SELL,100
2008-03-13,ML4T-399,SELL,100
2008-02-21,ML4T-399,SELL,100
